0,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월
A-01,1286.8,1341.3,1403.2,1461.0,1402.4,1430.7,1393.6,1369.9,1481.7,1324.9,1469.0,1377.0,1304.7,1306.5,1399.5,1434.3,1402.7,1389.5,1374.9,1338.3,1353.7,1423.3,1451.5,1402.3,1347.6,1269.8,1373.0,1426.6,1409.8,1380.7,1360.2,1354.6,1354.7,1391.8,1425.9,1363.7,1257.3,1222.0,1143.0,1189.4,1229.5,1297.1
A-02,1514.7,,1573.8,1286.6,770.2,437.7,1532.2,1533.0,1612.3,1452.0,1601.8,1538.5,1468.3,1466.2,1546.8,1562.5,1546.6,1528.9,1535.7,1475.7,1494.8,1548.9,1572.8,1542.5,1488.3,1389.4,1507.9,1579.4,1530.2,1499.4,1488.2,1482.2,1468.9,1505.0,1545.7,1490.3,1376.6,1348.1,1254.3,1304.8,1351.7,1427.0
A-03,643.8,742.6,698.2,692.7,665.1,711.9,653.8,631.3,663.2,576.0,637.3,649.6,613.1,628.7,654.6,653.0,650.3,644.0,641.4,628.3,626.2,655.6,670.7,647.4,621.5,592.9,632.1,651.9,635.7,611.7,613.2,608.0,607.3,615.6,640.1,614.6,566.3,548.9,527.9,554.8,586.9,606.9
A-04,222.8,,234.6,246.0,235.1,241.3,236.7,235.6,252.3,225.3,253.6,229.7,217.4,224.6,240.5,251.7,257.4,245.5,254.8,245.1,243.9,249.5,256.0,239.1,228.8,214.5,232.0,248.3,249.4,239.5,245.1,243.6,239.5,241.0,244.5,229.1,213.6,208.3,204.9,218.3,222.6,239.0
A-05,,1065.0,1078.0,1160.1,1126.3,1112.6,1089.7,1098.8,1186.6,1076.6,1252.2,1047.8,1622.1,,,,,,,,,,,1212.4,1165.8,1102.0,1159.0,1159.7,1149.7,1157.2,1159.3,1158.2,1141.6,,1199.7,1160.2,1109.5,1088.1,1018.0,1064.6,1090.8,1125.8
A-06,854.7,889.2,896.7,931.6,932.6,922.0,884.4,889.4,928.3,860.6,913.9,882.2,868.5,861.7,862.5,849.2,861.2,879.6,868.7,874.5,1051.8,1010.3,884.3,881.3,848.5,824.9,859.3,862.8,858.1,858.5,826.9,830.9,815.0,827.7,852.2,838.5,791.9,776.6,734.4,756.7,771.7,798.1
A-07,,877.8,858.7,762.0,630.2,476.5,834.1,807.6,810.8,772.5,828.6,804.8,773.7,761.6,795.7,794.2,798.8,779.1,775.0,764.5,746.5,763.3,802.3,803.9,779.7,748.2,767.9,784.6,788.1,755.8,786.3,772.4,782.2,1026.9,1044.7,1027.2,,935.0,887.8,712.5,692.3,723.7
A-08,,,1247.0,1246.8,1213.9,1192.3,1114.9,1131.8,1139.3,1059.5,1057.2,1113.2,1070.9,1053.8,1105.9,1067.2,1075.6,1084.2,1061.7,1017.9,1011.5,1087.1,1098.5,1109.8,1085.6,1046.5,1083.7,1095.3,1084.1,1090.0,1090.9,1052.4,1030.3,1086.8,1111.9,1093.9,1040.3,1047.7,1009.2,1016.2,1015.2,1042.6
A-09,,1085.7,1058.4,1055.7,1010.8,1021.1,1003.8,996.3,1027.9,927.2,1029.3,1015.4,962.9,950.3,982.1,963.7,937.6,977.5,,,,929.1,960.7,954.5,941.4,914.1,952.5,956.2,941.4,932.2,933.1,916.5,901.8,936.4,950.5,932.1,881.3,893.9,853.9,875.3,873.3,890.2
A-10,1256.2,1354.4,1453.3,1412.8,1350.6,1395.1,1342.6,1351.0,1404.3,1266.3,1082.1,1320.1,1317.6,1267.1,1374.1,1378.3,1352.9,1357.3,1343.6,1334.9,1315.3,1249.0,,1257.9,1226.8,1163.7,1222.5,1255.5,1222.5,1190.9,1204.4,1184.5,1164.3,1209.1,1229.1,1178.4,1061.1,1030.8,956.3,973.1,990.6,1052.6
A-11,1002.4,1090.4,1130.2,1140.3,1094.0,1116.5,1081.8,1052.0,1103.5,863.5,931.6,1046.4,1024.3,1024.6,1099.3,1099.6,1090.6,1085.8,1065.9,1035.5,1051.9,1110.2,1114.1,1082.8,1032.9,982.3,1053.9,1080.3,1071.4,1046.9,1048.6,1052.6,1027.6,1068.0,1070.1,1000.9,911.0,880.9,816.5,849.2,888.0,953.1
